Country_Code,average_temperature,average_radiation,temperature_fluctuation,predicted_avg_temp,predicted_avg_radiation,avg_production_all_energy,avg_production_renewables,avg_production_non_renewables,avg_CO2_emissions,GDP,Population
SK,8.79,158.47,8.63,9.41,162.87,0.171,0.23,0.026,23.027,181.39,5455.08
PL,8.56,144.77,8.47,9.21,149.54,1.74,0.214,2.396,207.722,1217.99,37963.62
LU,9.26,151.12,6.88,9.87,155.14,0.003,0.005,0.0,7.404,66.22,621.53
FI,4.23,113.14,9.11,4.93,116.91,0.34,0.509,0.0,31.731,253.0,5522.52
CZ,8.51,153.71,8.21,9.18,158.83,0.774,0.399,0.763,70.58,410.04,10677.38
GR,16.77,205.52,6.97,17.18,205.75,0.248,0.128,0.244,54.843,300.59,10720.85
DK,8.71,132.0,6.27,9.38,134.61,0.48,0.174,0.546,27.569,308.22,5816.5
LV,6.28,127.39,8.74,6.8,131.91,0.024,0.036,0.0,5.429,55.59,1906.29
EE,6.0,123.81,8.69,6.59,127.58,0.01,0.015,0.0,3.651,45.2,1328.98
GB,9.54,136.87,4.68,10.09,138.6,3.525,1.273,4.014,317.897,2992.82,66827.7
IT,14.23,184.49,7.05,14.7,185.64,0.982,1.018,0.456,246.231,2340.37,59910.75
IE,9.59,130.21,3.81,10.01,131.08,0.079,0.07,0.049,23.979,416.23,4941.86
PT,15.38,202.59,4.39,15.44,204.27,0.178,0.267,0.0,35.066,342.7,10288.67
DE,9.24,147.84,7.13,9.94,153.08,3.272,2.727,2.181,531.503,4182.05,83111.4
BE,10.07,146.23,6.04,10.68,149.93,0.362,0.543,0.0,82.785,557.63,11497.32
CH,7.97,163.85,7.22,8.43,168.62,0.414,0.62,0.0,27.572,590.96,8606.04
NL,10.23,142.92,5.89,10.9,147.05,1.526,0.248,2.041,152.514,934.92,17360.55
HR,11.94,171.69,8.03,12.51,174.41,0.105,0.075,0.083,11.705,110.29,4064.95
SE,6.41,121.95,7.62,7.17,124.44,0.991,1.487,0.0,33.925,524.62,10291.05
SI,9.84,165.93,7.89,10.43,168.95,0.095,0.101,0.042,9.54,76.49,2095.86
FR,11.29,163.87,6.14,11.78,166.85,3.482,5.179,0.044,242.392,2918.62,67266.75
AT,8.3,160.48,7.87,8.79,164.4,0.368,0.465,0.086,43.114,467.71,8885.2
HU,11.16,164.32,8.91,11.79,168.53,0.247,0.197,0.174,31.584,309.95,9770.74
NO,4.31,109.48,7.17,4.97,111.05,6.231,1.268,8.079,27.31,330.28,5352.82
LT,6.54,131.61,8.82,7.02,135.95,0.017,0.021,0.004,9.41,97.41,2794.09
ES,15.3,206.34,6.09,15.53,208.22,1.078,1.538,0.08,194.619,1796.29,47184.25
BG,11.56,184.44,8.58,12.13,186.52,0.306,0.23,0.229,28.792,149.25,6969.69
RO,10.71,170.51,9.22,11.36,175.15,0.731,0.344,0.753,49.969,522.9,19360.95
