,average_temperature,average_radiation,temperature_fluctuation
SK,8.79,158.47,8.63
PL,8.56,144.77,8.47
LU,9.26,151.12,6.88
FI,4.23,113.14,9.11
CZ,8.51,153.71,8.21
GR,16.77,205.52,6.97
DK,8.71,132.0,6.27
LV,6.28,127.39,8.74
EE,6.0,123.81,8.69
GB,9.54,136.87,4.68
IT,14.23,184.49,7.05
IE,9.59,130.21,3.81
PT,15.38,202.59,4.39
DE,9.24,147.84,7.13
BE,10.07,146.23,6.04
CH,7.97,163.85,7.22
NL,10.23,142.92,5.89
HR,11.94,171.69,8.03
SE,6.41,121.95,7.62
SI,9.84,165.93,7.89
FR,11.29,163.87,6.14
AT,8.3,160.48,7.87
HU,11.16,164.32,8.91
NO,4.31,109.48,7.17
LT,6.54,131.61,8.82
ES,15.3,206.34,6.09
BG,11.56,184.44,8.58
RO,10.71,170.51,9.22
